name_abbrv,year,month,American Indian/ Alaskan Native,Asian/Pacific Islander,Black,Hispanic,Other,White
ATW,2020,4,0.0,0.0,9.1,9.1,0.0,81.8
ATW,2021,1,0.0,9.1,9.1,18.2,0.0,63.6
BEI,2021,2,0.0,0.0,0.0,14.299999999999999,0.0,85.7
BH,2020,9,10.5,0.0,15.8,31.6,0.0,42.1
BH,2021,2,5.6000000000000005,0.0,11.1,33.300000000000004,0.0,50.0
DRUB,2019,12,0.0,22.2,5.6000000000000005,0.0,0.0,72.2
DRUB,2020,10,0.0,25.0,10.0,0.0,0.0,65.0
DRUB,2021,3,0.0,25.0,10.0,0.0,0.0,65.0
EHEA,2019,8,0.0,6.2,6.2,0.0,0.0,87.5
EHEA,2020,4,0.0,5.6000000000000005,5.6000000000000005,0.0,0.0,88.9
EHEA,2021,2,0.0,11.799999999999999,0.0,0.0,0.0,88.2
HHSCEX,2019,2,0.0,0.0,16.7,25.0,0.0,58.3
HYPR,2020,12,0.0,0.0,0.0,20.0,0.0,80.0
IDDS,2019,8,0.0,0.0,19.0,9.5,0.0,71.39999999999999
IDDS,2021,2,0.0,0.0,13.0,8.7,0.0,78.3
LTCF,2020,9,0.0,0.0,10.0,20.0,0.0,70.0
MEDCARE,2018,5,0.0,11.1,0.0,11.1,0.0,77.8
MHSAD,2019,7,7.1,0.0,21.4,28.599999999999998,0.0,42.9
NURPY,2020,7,0.0,7.7,0.0,7.7,0.0,84.6
PALCAR,2021,3,0.0,5.8999999999999995,5.8999999999999995,11.799999999999999,0.0,76.5
PCCF,2020,1,0.0,0.0,5.6000000000000005,22.2,0.0,72.2
SMCAD,2019,6,0.0,0.0,7.1,14.299999999999999,7.1,71.39999999999999
SMCAD,2019,9,0.0,6.7,0.0,6.7,6.7,80.0
SMCAD,2020,10,0.0,8.7,4.3,13.0,4.3,69.6
SMCAD,2020,11,0.0,8.7,4.3,13.0,4.3,69.6
SNAPIS,2020,4,0.0,0.0,14.299999999999999,35.699999999999996,7.1,42.9
STARK,2019,7,0.0,5.8999999999999995,11.799999999999999,5.8999999999999995,0.0,76.5
STARK,2019,12,0.0,5.8999999999999995,11.799999999999999,11.799999999999999,0.0,70.6
STARK,2021,1,0.0,0.0,11.799999999999999,29.4,0.0,58.8
STARPLS,2021,2,0.0,4.8,4.8,9.5,0.0,81.0
TXBI,2019,6,0.0,7.7,7.7,7.7,0.0,76.9
TXBI,2020,5,0.0,13.3,13.3,13.3,0.0,60.0
TXCON,2019,11,0.0,0.0,27.800000000000004,16.7,0.0,55.60000000000001
TXHIV,2019,7,0.0,0.0,11.1,33.300000000000004,0.0,55.60000000000001
TXMDIS,2020,11,0.0,0.0,8.3,8.3,0.0,83.3
VPYQYI,2020,2,0.0,6.7,13.3,13.3,0.0,66.7
YC,2020,2,0.0,0.0,0.0,11.1,0.0,88.9
All,,,0.7000000000000001,5.8999999999999995,9.2,13.200000000000001,0.8999999999999999,70.0
