Year,2019
Area Name,Texas
Area Code,48
Total Pop Total,"29,001,602"
Total Pop Male,"14,405,398"
Total Pop Female,"14,596,204"
White Total,"12,034,112"
White Male,"5,967,896"
White Female,"6,066,216"
Black Total,"3,439,413"
Black Male,"1,665,112"
Black Female,"1,774,301"
Hispanic Total,"11,446,898"
Hispanic Male,"5,747,537"
Hispanic Female,"5,699,361"
Asian Total,"1,429,669"
Asian Male,"701,052"
Asian Female,"728,617"
Other Total,"651,510"
Other Male,"323,801"
Other Female,"327,709"
